symbol,entry_time,exit_time,entry_price,exit_price,direction,quantity,entry_prob,expected_mfe_atr,expected_mae_atr,risk_multiplier,directional_bias,session_quality,volatility_regime,trend_regime,market_state,pnl,pnl_atr,actual_mfe,actual_mae,actual_mfe_atr,actual_mae_atr,holding_minutes,exit_reason
RELIANCE,2025-10-31 09:17:00+05:30,2025-10-31 09:37:00+05:30,1490.9,1492.5,1,1,0.6806746295687806,1.723555605645575,0.5471337753363009,0.692581277170076,1,0.7,2,1,1,1.599999999999909,0.5508286147932739,6.0,0.0,2.0656073054748947,0.0,19,Session stopped (bad day)
SIEMENS,2025-11-03 09:17:00+05:30,2025-11-03 09:22:00+05:30,3095.0,3105.0,-1,1,0.741191022053796,1.8335129792996514,0.5770469759038833,0.7342053550793093,-1,0.7,2,1,1,-10.0,-1.8258245443171244,0.0,-10.0,0.0,-1.8258245443171244,5,Max loss hit
RELIANCE,2025-11-03 09:18:00+05:30,2025-11-03 09:30:00+05:30,1487.0,1482.2,1,1,0.6984540137722892,1.7351596224651948,0.612612437907825,0.6227647366960944,1,0.4,2,1,1,-4.7999999999999545,-1.8307160353806264,0.40000000000009095,-4.7999999999999545,0.15255966961508832,-1.8307160353806264,12,Max loss hit
LT,2025-11-03 09:15:00+05:30,2025-11-03 09:33:00+05:30,4030.5,4028.0,-1,1,0.9413049195702937,2.9646733365407854,0.40869943996270874,0.7034830836533611,-1,0.4,2,0,2,2.5,0.3547530366914998,12.300000000000182,-7.400000000000091,1.745384940522205,-1.0500689886068524,18,Profit floor hit
TATAELXSI,2025-11-03 09:29:00+05:30,2025-11-03 09:33:00+05:30,5430.0,5426.0,-1,1,0.7621903672992202,2.3154965426414607,0.36766174116012756,0.6600816378347346,-1,0.4,2,2,2,4.0,0.2018290647075358,14.5,0.0,0.7316303595648174,0.0,3,Session stopped (bad day)
SIEMENS,2025-11-04 09:20:00+05:30,2025-11-04 09:31:00+05:30,3122.2,3120.7,-1,1,0.7134485402784914,1.6808251465782174,0.47017711145692587,0.6577421098418964,-1,0.4,2,0,2,1.5,0.1782904886067291,3.699999999999818,0.0,0.43978320522991016,0.0,11,Absorption failure (stalled)
TITAN,2025-11-04 09:30:00+05:30,2025-11-04 09:39:00+05:30,3756.2,3753.2,-1,1,0.6864485448202713,1.3617049725874584,0.349653362622382,0.6347429261340213,-1,0.4,2,1,2,3.0,0.11849347827796325,3.0,-4.700000000000273,0.11849347827796325,-0.18563978263548653,9,Absorption failure (stalled)
SIEMENS,2025-11-04 09:35:00+05:30,2025-11-04 09:41:00+05:30,3120.2,3117.7,-1,1,0.7183529626328968,1.7620559597961343,0.4124004646677162,0.6945972908068334,-1,0.7,2,0,2,2.5,0.3389565338803077,7.699999999999818,0.0,1.043986124351323,0.0,6,Profit floor hit
SIEMENS,2025-11-04 09:42:00+05:30,2025-11-04 09:55:00+05:30,3117.2,3118.2,1,1,0.6950242907326971,1.7144942962297298,0.39190662127773673,0.6739594173341509,1,0.7,2,0,1,1.0,0.13054043697706297,1.400000000000091,-4.699999999999818,0.18275661176790003,-0.6135400537921722,13,Absorption failure (stalled)
TATAELXSI,2025-11-04 09:40:00+05:30,2025-11-04 09:59:00+05:30,5426.5,5424.5,-1,1,0.7222443305082498,2.0538320310316913,0.35234150995708724,0.6273980649503342,-1,0.4,2,2,2,2.0,0.12455718792180016,2.5,-6.0,0.1556964849022502,-0.37367156376540045,19,Absorption failure (stalled)
